id_row,time_stamp,department_,category_,machine_name,part_name,plan_,id_operator,output_,cycle_time,count_,run_,idle_,alarm_,offline_,alarm_code
87,"2025-08-16 16:29:19.07",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
88,"2025-08-16 16:29:20.31",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
89,"2025-08-16 16:29:26.04",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
90,"2025-08-16 16:29:27.01",Lathe,Machine,"Rotor TK1",089-138,0,id,0,12.03,12,0,0,0,0,0
91,"2025-08-16 16:30:00.60",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
92,"2025-08-16 16:30:01.51",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
93,"2025-08-16 16:30:07.48",Lathe,Machine,"Rotor TK4",2021404,0,id,0,6.88,16,0,0,0,0,0
94,"2025-08-16 16:30:41.55",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
95,"2025-08-16 16:30:41.55",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
96,"2025-08-16 16:30:43.12",Lathe,Machine,"Rotor TK1",089-138,0,id,1,0.00,0,0,0,0,0,0
97,"2025-08-16 16:31:02.15",Lathe,Machine,"Rotor TK1",089-138,0,id,1,0.00,0,0,0,0,0,0
98,"2025-08-16 16:31:02.45",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
99,"2025-08-16 16:31:03.33",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
100,"2025-08-16 16:31:09.34",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
101,"2025-08-16 16:31:09.93",Lathe,Machine,"Rotor TK1",089-138,0,id,0,7.78,14,0,0,0,0,0
102,"2025-08-16 16:31:43.34",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
103,"2025-08-16 16:31:44.58",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
104,"2025-08-16 16:31:50.55",Lathe,Machine,"Rotor TK4",2021404,0,id,0,7.21,18,0,0,0,0,0
105,"2025-08-16 16:32:31.39",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
106,"2025-08-16 16:32:31.39",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
107,"2025-08-16 16:32:45.01",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
108,"2025-08-16 16:32:45.33",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
109,"2025-08-16 16:32:46.22",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
110,"2025-08-16 16:32:52.34",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
111,"2025-08-16 16:32:52.67",Lathe,Machine,"Rotor TK1",089-138,0,id,1,110.52,14,0,0,0,0,0
112,"2025-08-16 16:33:26.47",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
113,"2025-08-16 16:33:27.44",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
114,"2025-08-16 16:33:33.38",Lathe,Machine,"Rotor TK4",2021404,0,id,1,110.04,18,0,0,0,0,0
115,"2025-08-16 16:34:09.16",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
116,"2025-08-16 16:34:28.20",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
117,"2025-08-16 16:34:29.20",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
118,"2025-08-16 16:34:35.39",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
119,"2025-08-16 16:34:35.69",Lathe,Machine,"Rotor TK1",089-138,0,id,1,103.02,15,0,0,0,0,0
120,"2025-08-16 16:35:09.26",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
121,"2025-08-16 16:35:10.24",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
122,"2025-08-16 16:35:10.55",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
123,"2025-08-16 16:35:16.17",Lathe,Machine,"Rotor TK4",2021404,0,id,1,102.79,19,0,0,0,0,0
124,"2025-08-16 16:35:51.97",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
125,"2025-08-16 16:36:10.88",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
126,"2025-08-16 16:36:11.75",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
